ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
1835,boe7-khat--tit,;眼紅;,be7-khat得,be7-khat--tit,,1555,VH,,
1836,boe7-kho3--leh,;靠不住;,be7靠leh,be7-kho3--leh,,2982,VR,,
1837,boe7-kho3--tit,;靠不住;,be7靠得,be7-kho3--tit,,3225,VR,,
1838,boe7-kheh--tit,;少不了;,be7缺得,be7-khoeh--tit,,3365,VJ,,
1839,boe7-ki3,;忘記;忘掉;遺忘;,be7記,be7-ki3,,1498,VR;VK,,
1840,boe7-ki3--tit,;記不得;忘卻;,be7記得,be7-ki3--tit,,3860,VR;VJ,,
1841,boe7-kian3-siau3,;不要臉;無恥;,be7見笑,be7-kian3-siau3,,5827,VH,,
1842,boe7-koai3,;無怪;,be7怪,be7-koai3,,1270,Db,,
1843,boe7-koai3--tit,;怪不得;,be7怪得,be7-koai3--tit,,3005,Db,,
1844,boe7-koaN2-tit-hu3,;趕不及;,be7趕得赴,be7-koaN2-tit-hu3,,2861,VR,,
1845,boe7-koe3,;難怪;,be7怪,be7-koe3,,3182,Db,,
1846,boe7-ke3-i3,;過不去;,be7過意,be7-koe3-i3,,6199,VR,,
1847,boe7-koe3--tit,;怪不得;怨不得;,be7怪得,be7-koe3--tit,,5190,Db;VJ,,
1848,boe7-leng5,;失靈;,be7靈,be7-leng5,,1158,VH,,
1849,boe7-li5--tit,;離不開;,be7離得,be7-li7--tit,,2988,VR,,
1852,boe7-oah8,;活不了;,be7活,be7-oah8,,2753,VR,,
1854,boe7-piN5,;不平;,be7平,be7-peN5,,2228,VH,,
1855,boe7-phai2,;不壞;,be7歹,be7-phaiN2,,2493,,,
1856,boe7-sai2,;不可;使不得;,be7使,be7-sai2,,3127,Db;VR,,
1857,boe7-sai2-bo5,;少不得;,be7使無,be7-sai2-bo5,,4665,VJ,,
1858,boe7-sai2-kong2,;說不得;,be7使講,be7-sai2-kong2,,4456,VH,,
1859,boe7-sai2--tit,;不可;不行;不能;使不得;要不得;,be7使得,be7-sai2--tit,,6400,Db;VR;VL;VH,,
1860,boe7-siN,;不孕;,be7生,be7-seN,,2513,VH,,
1861,boe7-sim-sek,;乏味;,be7心適,be7-sim-sek,,1721,VH,,
1863,boe7-song2,;不適;掃興;,be7爽,be7-song2,,2079,VH,,
1864,boe7-su,;不亞於;不遜;,be7輸,be7-su,,2509,VJ,,
1865,boe7-su-teh,;好像在;,be7輸teh,be7-su-teh,,5564,,,
1866,boe7-tang3,;不可;不能;,be7-tang3,be7-tang3,,3000,Db;VL,,
1867,boe7-tau3,;不和;不對;,be7鬥,be7-tau3,,4126,VH,,
1868,boe7-thong-thau2,;遲滯;,be7通thau2,be7-thong-thau2,,1122,VH,,
1869,boe7-ti3-kau3,;不致於;,be7致到,be7-ti3-kau3,,3633,Db,,
1871,boe7-tih8--tit,;要不得;,be7-tih8得,be7-tih8--tit,,4841,VH,,
1872,boe7-tit8--tit,;了不得;,be7直得,be7-tit8--tit,,3598,VH,,
1873,boe7-tit-hu3,;不及;來不及;,be7得赴,be7-tit-hu3,,3375,Dd;VJ;VH,,
1874,boe7-tit-ke3,;過不去;,be7得過,be7-tit-koe3,,6480,VR,,
1878,boe7-tong3--tit,;不支;禁不住;,be7擋得,be7-tong3--tit,,3044,VR;VH,,
1879,boe7-tou7,;難聽;,be7度,be7-tou7,,1365,VH,,
2011,,;偷看;,bi,bi,,1055,VC,,
2037,,;米粉;米麩;,米hu,bi2-hu,,470,Na,,
2099,,;米蟲;,米tai5,bi2-tai5,,535,,,
2109,,;啤酒;,bi3-luh,bi3-luh,,306,Na,,
2110,,;啤酒肚;,bi3-luh肚,bi3-luh tou7,,527,,,
2111,,;小睡;,bi5,bi5,,606,VA,,
2133,,;維他命;,bi5-ta2-min2,bi5-ta2-min2,,975,Na,,
2135,,;維他命;,bi5-tha-min2,bi5-tha-min2,,1000,Na,,
2137,,;潛;,bi7,bi7,,239,b,,
2228,,;逃避;躲;躲藏;隱藏;藏;藏匿;,bih,bih,,672,VA;VC,,
2239,,;捉迷藏;,bih涵貓,bih-am5-niau,,719,VA,,
2240,,;脖子;,bih頷,bih-am7,,505,Na,,
2241,,;躲閃;,bih走,bih-chau2,,1006,VC,,
2242,,;忸怩;,bih-chhih,bih-chhih,,315,VH,,
2243,,;收縮;,bih鬚,bih-chhiu,,427,VA,,
2244,,;抿嘴;抽泣;泫然欲泣;,bih嘴,bih-chhui3,,837,VA,,
2245,,;畏縮;發情;,bih雄,bih-heng5,,671,VH,,
2246,,;躲雨;避雨;,bih雨,bih-hou7,,1153,VA,,
2247,,;躲起來;,bih起來,bih-khi2-lai5,,2797,VR,,
2248,,;躲藏起來;,bih起來,bih--khi2-lai5,,3070,,,
2249,bih-khu3-tiam3,;逃遁;,bih去站,bih-khi3-tiam3,,1609,VA,,
2250,,;潛藏;,bih-khng3,bih-khng3,,438,VA,,
2251,bih-kok8-koe,;捉迷藏;,bih咯雞,bih-kok8-ke,,1125,VA,,
2254,bih-sio-chhe7,;捉迷藏;躲貓貓;,bih相找,bih-sio-chhoe7,,1718,VA;Na,,
2255,,;躲在;,匿ti7,bih-ti7,,3080,VR,,
2256,,;刷;,bin2,bin2,,185,VC,,
2342,,;相貌;面孔;面色;面目;面相;臉色;五官;,面chhiuN,bin7-chhiuN,,1280,Na,,
2348,,;面孔浮腫;,面ham3-hang3,bin7-ham3-hang3,,728,,,
2375,bin7-phe5-hau-hau,;膮;,面皮hau-hau,bin7-phoe5-hau-hau,,648,,,
