出處,華語,漢字,臺羅,
臺灣閩南語常用詞辭典,衣櫥,thàng-sù,thàng-sù,
臺灣閩南語常用詞辭典,網球,the-ní-suh,the-ní-suh,
臺灣閩南語常用詞辭典,甜不辣,thia̋n-pú-lah,thia̋n-pú-lah,
臺灣閩南語常用詞辭典,卡車,thoo-lá-khuh,thoo-lá-khuh,
臺灣閩南語常用詞辭典,西紅柿,thoo-má-tooh,thoo-má-tooh,
臺灣閩南語常用詞辭典,番茄,thoo-má-tooh,thoo-má-tooh,
臺灣閩南語常用詞辭典,多桑,tóo-sàng,tóo-sàng,
臺灣閩南語常用詞辭典,父親,tóo-sàng,tóo-sàng,
臺灣閩南語常用詞辭典,剪刀,tsiok-kih,tsiok-kih,
臺灣閩南語常用詞辭典,巧克力,tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo,
臺灣閩南語常用詞辭典,小費,tsit-puh,tsit-puh,
臺灣閩南語常用詞辭典,烏龍麵,u-lóng,u-lóng,
臺灣閩南語常用詞辭典,華爾茲,ua-lú-tsuh,ua-lú-tsuh,
臺灣閩南語常用詞辭典,芥末,ua-sá-bih,ua-sá-bih,
臺灣閩南語常用詞辭典,山葵醬,ua-sá-bih,ua-sá-bih,
臺灣閩南語常用詞辭典,白襯衫,ua̋i-siat-tsuh,ua̋i-siat-tsuh,
臺灣閩南語常用詞辭典,運將,ùn-tsiàng,ùn-tsiàng,
臺灣閩南語常用詞辭典,司機,ùn-tsiàng,ùn-tsiàng,
,,,,
,,nè-tsiàng,nè-tsiàng,(飯店或旅館的女服務員、女中)
,,that-bí,that-bí,(一種工作鞋)
,,tshia̋n-pá-lah,tshia̋n-pá-lah,(兒童模擬武打戲的、日本古裝武打戲)
,,ua-khá-móo-tooh,ua-khá-móo-tooh,(一種保健藥品)
